y.gs	y.bn	y.ps	cov
-1.859960695	0	0	-1.852552445
-2.815160391	0	0	-2.719171333
0.084926788	0	4	0.026266781
-0.856418288	1	0	-0.749906169
-0.232969461	0	0	-0.115934281
0.424672248	1	1	0.531184367
-2.854265634	0	0	-2.605093941
0.714247741	1	2	0.82075986
-0.390336966	0	0	-0.459520033
1.84529542	0	8	2.028398857
1.497093402	1	3	1.603605521
0.598226732	0	2	0.529043664
2.29136412	1	10	2.397876239
0.562574589	1	2	0.503914582
1.027259818	1	0	0.968599812
-0.677979861	0	0	-0.670571611
1.0767725	1	0	1.249352875
-0.946515768	0	0	-0.763412331
0.297641519	0	2	0.484130362
-1.943254689	0	0	-1.760151252
-0.13351561	0	1	-0.01648043
-0.862911978	0	0	-0.679808542
-0.869986055	0	0	-0.763473936
-0.954503858	0	0	-0.8585148
-1.392035731	0	0	-1.275000551
-0.622211214	1	1	-0.505176033
-0.250004156	0	1	-0.143492037
-0.221526392	1	3	-0.04556061
0.759666526	1	3	0.759744087
-0.21633034	0	0	-0.09929516
0.08194386	0	1	0.177932918
-0.618732126	1	2	-0.442959378
0.308422364	0	1	0.532012162
-0.832217969	1	0	-0.736228911
-0.330017001	0	2	-0.146913565
-0.192578614	0	0	-0.261761681
-1.192864194	1	0	-0.95102319
0.854171632	0	0	0.795511626
1.18107194	1	4	1.287584059
-1.276470557	0	1	-0.871061087
0.330246578	1	5	0.426235636
-1.811405157	0	0	-1.62830172
-0.224029098	0	1	-0.058779411
-1.115145981	1	0	-0.865974288
0.047479469	1	3	0.164514649
1.134703973	1	3	1.183953303
0.212850797	0	0	0.385431173
-2.354497541	0	0	-2.413157547
0.871487174	1	1	1.054590611
1.105662004	0	4	1.212174123
-0.41210823	0	1	-0.316119172
0.081033256	0	1	0.177022313
0.058436428	1	0	0.164948547
-0.890439445	0	0	-0.578443942
0.37139841	1	1	0.477910529
-0.710074841	0	1	-0.614085783
0.111951347	1	4	0.207940405
1.594631012	1	7	1.525447944
0.175378679	0	0	0.281890798
-0.263448008	0	0	-0.332631076
-0.730361666	1	1	-0.344125616
0.609038616	1	2	0.792142053
-0.871675422	0	0	-0.69570964
-0.205030478	1	2	0.044141215
0.902300483	1	3	1.008812602
-1.447525141	0	0	-1.271752393
-2.267422389	0	0	-2.260014139
0.148710048	0	0	0.244699105
-0.704306248	0	0	-0.762966254
0.588416247	0	3	0.354061053
-1.790665093	0	0	-1.673629913
-0.912718674	0	1	-0.795683494
-1.491465155	1	0	-1.508284082
0.28137992	1	4	0.212196852
0.124250835	0	1	0.220239893
2.182687325	1	9	2.113504257
-1.11121226	0	0	-0.938631885
-0.731635632	1	0	-0.635646574
-0.548193153	0	0	-0.365089717
-0.739712189	0	0	-0.798372196
0.917325159	1	4	1.100428595
0.829173976	1	2	0.935686095
-2.402829843	0	0	-2.296317724
-1.21468566	0	0	-1.031582224
-0.467102594	0	1	-0.291136812
-0.420115415	0	1	-0.24753504
-0.582266467	0	0	-0.465231287
-1.690622863	0	1	-1.378627361
0.145525627	1	1	0.244900092
-1.21582544	1	0	-1.274485446
0.55453949	0	1	0.661051609
